i	zi	first_occurence	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	nhsk1	nhsk2	nhsk3	nhsk4	nhsk5	nhsk6	stront1	weeb1
246	手	hsk2		手机; 手表	洗手间		对手; 分手; 手工; 手术; 手续; 手套; 手指; 随手; 握手	爱不释手; 把手; 不择手段; 动手; 拿手; 手法; 手势; 手艺; 凶手; 选手; 助手; 着手	手; 手机; 洗手间	举手; 手表	对手; 歌手; 手续; 手指; 握手; 选手	二手; 分手; 手工; 手里; 手术; 手套; 随手	动手; 手段; 手法; 双手; 招手; 助手	高手; 联手; 两手; 手续费; 凶手	用手机打电话; 戴帽子/口罩/手表/围巾/眼镜; 握手; 招手; 助手; 手机应用; 手臂; 手肘; 办手续; 扶手; 手痒痒; 扶手电梯; 举手; 人手不足; 一台手机; 枪手; 手腕; 手指; 洗手液	入手; 手控; 佛系分手; 马路杀手; 手欠; 手撕鬼子; 摊手; 手贱; 触手; 剁手族; 段子手; 高手在民间
247	表	hsk2		手表		表格; 表示; 表演; 表扬	表达; 表面; 表情; 表现; 代表; 发表; 表明	表决; 表态; 表彰; 外表		表; 表示; 手表	表达; 表格; 表面; 表明; 表现; 表演; 代表; 代表团; 发表	表情; 表扬		表面上	戴帽子/口罩/手表/围巾/眼镜; 电子表格; 表格; 表达; 表情很丰富; 表情包; 表示; 词汇表; 代表; 表情	表情管理; 地表最强; 大表哥; 课代表; 大表姐; 请开始你的表演; 爆表; 表情包; 颜值爆表
248	眼	hsk2		眼睛		眼镜		心眼儿; 眼光; 眼色; 眼神; 耀眼		眼; 眼睛	眼前	眼镜; 眼泪; 眼里	眼光	亲眼; 眼看	戴帽子/口罩/手表/围巾/眼镜; 一双眼睛; 一只眼睛; 一副眼镜; 眼影盘; 眼影	显眼包; 没眼看; 确认过眼神; 旋转跳跃闭著眼
249	睛	hsk2		眼睛						眼睛					一双眼睛; 一只眼睛	
250	身	hsk2		身体			健身; 身份; 随身; 身材	本身; 出身; 动身; 浑身; 终身	身上; 身体	全身; 身边	身份证; 自身	健身; 身材; 身份; 身高; 转身	一身; 终身	本身	你身边; 身体; 身份证; 健身; 健身房; 身材没有曲线; 安身立命	嘴上说不要，身体却很诚实; 单身汪; 感觉身体被掏空; 单身​狗
251	体	hsk2		身体	体育		体贴; 体验; 集体; 具体; 媒体; 体会; 体现; 整体	大体; 繁体字; 个体; 固体; 简体字; 解体; 立体; 尸体; 体裁; 体积; 体谅; 体面; 体系; 团体; 液体	身体	全体; 体育; 体育场; 体育馆	集体; 具体; 媒体; 体会; 体现; 体验; 团体; 整体	个体; 体操; 体检; 体重	气体; 群体; 体积; 体力; 主体; 总体	多媒体	身体; 简体字; 繁体字; 集体; 体重; 体验; 群体; 字体; 性少数群体	自带热搜体质; 肉体饭; 咆哮体; 招黑体质; 口嫌体正直; 嘴上说不要，身体却很诚实; 感觉身体被掏空; 抵挡不住体内的洪荒之力
252	汽	hsk2		公共汽车			汽油		汽车	公共汽车		汽水; 汽油			电动汽车; 公共汽车	
253	共	hsk2		公共汽车	一共	共同	总共	共和国; 共计; 共鸣		公共汽车; 一共	公共; 共同; 共有	共; 总共	共计; 共享		共同爱好; 共同话题; 共同朋友; 共同敌人; 共同生活; 共同努力; 公共汽车	
254	公	hsk2		公共汽车; 公司	办公室; 公斤; 公园	高速公路; 公里	公开; 公平; 公寓; 外公; 公布; 公元; 公主	公安局; 公道; 公告; 公关; 公民; 公然; 公认; 公式; 公务; 公正; 公证		办公室; 公共汽车; 公交车; 公斤; 公里; 公路; 公平; 公司; 公园	高速公路; 公布; 公共; 公开; 公民; 公务员	公元; 老公	公告; 公认; 公式; 公正	办公; 公; 公安; 公鸡; 公众; 公主	老公; 老公和老婆; 高速公路; 我走到公司去; 我走到公司来了; 办公室; 办公楼; 公司法; 公厕; 公共汽车; 公务员; 公平; 公司; 公寓	陌上人如玉，公子世无双; 谁还不是小公主咋的; 公开处刑; 公知; 公主病; 小公举; 国民老公
255	报	hsk2		报纸		报名	报到; 报告; 预报; 报道; 报社	报仇; 报酬; 报答; 报复; 报警; 报销; 回报; 汇报; 情报; 申报		报名; 报纸; 日报; 晚报	报; 报到; 报道; 报告; 预报	汇报	报答; 报警; 回报	报刊; 报考; 海报; 通报	报名; 天气预报	深夜发吃，报复社会
256	纸	hsk2		报纸						报纸; 纸					一张纸条	
257	门	hsk2		门		专门	部门	窍门; 热门	门; 门口; 门票	出门; 大门	部门; 专门	上门	门诊; 敲门; 热门; 入门		即使我学一门很简单的语言，也需要很长时间。; 门票; 门儿都没有/; 门把; 推开门; 敲门; 金门大桥	金拱门; 传送门
258	题	hsk2		题; 问题			话题; 题目; 主题	标题; 课题; 题材; 专题		难题; 题; 问题	标题; 话题; 试题; 题目; 专题	主题	课题; 题材	考题; 议题	问题; 回答问题; 共同话题; 题目; 社会问题; 话题; 敏感话题; 互相问问题	标题党; 这是一道超纲题; 送分题; 送命题
259	课	hsk2		课			课程	课题; 旷课	课; 课本; 课文; 上课; 下课	课堂	功课; 课程		课题	补课; 讲课	一节课; 课文; 课程; 集训课	课代表
260	姓	hsk2		姓			老百姓			姓; 姓名	老百姓				老百姓	
261	问	hsk2		问题; 问			问候; 询问; 疑问; 提问; 学问	反问; 访问; 顾问; 过问; 慰问; 问世	请问; 问	问路; 问题	访问; 提问	问候; 学问; 疑问	顾问; 慰问; 询问	反问	问题; 回答问题; 社会问题; 互相问问题	黑人问号; 妈妈问我为什么跪著看。。。
262	事	hsk2		事情	故事; 同事		军事; 事物; 从事; 人事; 事实; 事先	本事; 当事人; 董事长; 领事馆; 启事; 失事; 时事; 实事求是; 事故; 事迹; 事件; 事态; 事务; 事项; 事业; 往事; 刑事	没事儿; 事	故事; 好事; 事情; 同事	本事; 从事; 事故; 事件; 事实; 事实上; 事业	办事; 事物; 事先	大事; 启事; 时事	办事处; 出事; 此事; 军事; 事后; 有事	别的事情; 事实上; 待办事项; 大便事项; 这件事很急; 你觉得这件事有什么好的地方？; 办事; 没事了; 军事基地; 处理一些事情	不可描述之事; 你这是在搞事情
263	情	hsk2		事情	热情	爱情; 感情; 情况; 同情; 心情	表情; 情景; 情绪	风土人情; 激情; 情报; 情节; 情理; 情形; 深情厚谊; 盛情; 心甘情愿		爱情; 热情; 事情; 心情	感情; 情感; 情况	表情; 情景; 同情	情节; 情形; 神情	病情; 激情; 情绪	看情况; 情况; 在这个情况下; 别的事情; 疫情; 在她的情况里; 心情很复杂; 一对情侣; 表情很丰富; 爱情片; 情节; 表情包; 人情美; 情绪化; 情侣; 处理一些事情; 情绪; 表情; 性情; 热情	zqsg; 表情管理; 土味情话; 激情小短片; 嫁给了爱情的模样; 塑料花姐妹情; 情怀; 你这是在搞事情; 爱情动作片; 表情包; 陪伴，是最长情的告白
264	考	hsk2		考试		考虑	参考; 思考	考察; 考古; 考核; 考验	考; 考试	考生	考验	参考; 考察; 考虑; 思考	考核	报考; 补考; 高考; 考场; 考题	思考; 一场考试; 供你参考; 仅供参考	
265	试	hsk2		考试	试		试卷	尝试; 试图; 试验	考试; 试		试题; 试验	测试; 面试; 试卷	尝试; 试图	笔试; 口试; 试点	一场考试; 面试	
266	票	hsk2		票			发票; 支票; 股票	彩票; 钞票; 投票	车票; 机票; 门票; 票		票价; 邮票	发票	彩票	股票; 投票; 退票	机票; 门票; 准备好/; 支票; 发票; 股票; 股票跌了	男票; 女票; 票圈; 卵巢彩票
267	意	hsk2		意思	满意; 同意; 愿意; 注意	得意; 故意; 生意; 意见; 主意	意外; 意义	称心如意; 大意; 乐意; 任意; 示意; 随意; 特意; 玩意儿; 意料; 意识; 意图; 意味着; 意向; 意志; 在意		不好意思; 故意; 满意; 意见; 意思; 有意思; 愿意	生意; 同意; 意外; 意义; 主意; 注意	得意	随意; 意识; 意味着; 意志	创意; 民意; 特意; 意想不到; 意愿	那句话的意思; 对...很满意; 对...满意; 同意; 主意; 意大利面; 字面意思; 抽象意思; 注意; 意思; 有意思; 意义; 有意义; 愿意; 对。。。满意	bhys; 不能同意更多; 意不意外？惊不惊喜？
268	思	hsk2		意思			思想; 思考	不可思议; 沉思; 反思; 构思; 思念; 思索; 思维		不好意思; 意思; 有意思	思想	思考	思维		那句话的意思; 思考; 字面意思; 抽象意思; 意思; 有意思; 思想开放	bhys; 细思恐极
269	色	hsk2		颜色		景色	特色; 出色; 角色; 色彩	粉色; 气色; 眼色; 棕色		白色; 黑色; 红色; 黄色; 蓝色; 绿色; 颜色	彩色; 景色; 特色	出色; 角色; 色; 色彩; 五颜六色	灰色; 脸色		金色; 颜色; 白色的衣服很容易脏; 颜色很深/; 角色; 以色列; 棕色; 特色	
270	颜	hsk2		颜色						颜色		五颜六色			颜色; 颜色很深/	盛世美颜; 颜狗; 颜即正义; 始于颜值，陷于才华，忠于人品; 颜艺; 颜值巅峰; 颜控; 颜值爆表
271	笔	hsk2		铅笔	笔记本					笔; 笔记; 笔记本			钢笔; 毛笔	笔试; 铅笔; 圆珠笔	一支笔; 翻译笔; 代笔; 笔名	煞笔; 比心
272	铅	hsk2		铅笔										铅笔		
273	条	hsk2		面条	条	条件	苗条	便条; 条款; 条理; 条约; 有条不紊	面条儿	条; 条件			便条	薯条	一条裙子; 一条裤子; 一条鱼; 一条蛇; 一张纸条	
274	火	hsk2		火车站		火	火柴; 着火	火箭; 火焰; 火药; 恼火; 涮火锅	火车		火	火; 着火	火柴; 火腿; 火灾	火箭	山火; 着火; 一列火车; 火盆; 上火; 火警	红红火火恍恍惚惚; 目测要火; 火星哥
275	站	hsk2		火车站	站	加油站; 网站			车站; 站	地铁站; 网站; 站; 站住		加油站		站台	网站	站台; 站队; A站
276	司	hsk2		公司	司机			打官司; 司法; 司令		公司; 司机			寿司	打官司; 官司; 司长	我走到公司去; 我走到公司来了; 公司法; 司机; 公司	司姬; 女司机; 囧司徒; 高司令; 老司机
277	馆	hsk2		宾馆	图书馆	大使馆	博物馆	领事馆	图书馆	饭馆; 体育馆	大使馆; 旅馆		宾馆; 博物馆; 餐馆	场馆	博物馆	
278	宾	hsk2		宾馆			嘉宾						宾馆	嘉宾		
279	卖	hsk2		卖				出卖; 贩卖		卖; 外卖			买卖		买卖; 拿咖啡/; 卖; 卖艺; 在他成名前，他曾以卖艺为生; 卖方	卖腐; 妈卖批; 卖家秀
280	走	hsk2		走				飞禽走兽; 走廊; 走漏; 走私	走; 走路	走过; 走进; 走开			逃走	拿走; 走私	药店离我家走路五分钟; 我走到公司去; 我走到公司来了; 一直往前走	风骚走位; 愿你出走半生，归来仍是少年; 走肾; 奔走相告; 皮皮虾，我们走; 行走的荷尔蒙; 我走过最远的路，是你的套路; 走心
281	进	hsk2		进		进行	改进; 进步; 促进; 进口	进而; 进攻; 进化; 进展; 上进; 先进; 循序渐进	进; 进来; 进去; 请进	进入; 进行; 走进	改进; 进步; 进一步; 进展; 前进; 推进; 先进	促进; 进口; 引进	进化	进攻; 增进	进来吧，随便坐吧; 进这里来; 进取; 进步; 把...放进去	
282	跑	hsk2		跑步					跑		跑步		逃跑	奔跑; 长跑	向我跑来	装完逼就跑; 陪跑
283	步	hsk2		跑步		散步	进步; 逐步; 步骤; 退步	步伐; 初步; 地步; 让步			步; 初步; 进步; 进一步; 跑步; 散步	步行; 逐步	脚步		步骤; 进步; 退步	一步两步，; 神同步
284	到	hsk2		到	迟到; 遇到	到处; 到底; 受到	报到; 周到; 达到; 到达	归根到底; 恰到好处	到; 得到; 回到; 看到; 来到; 听到; 找到	到处; 等到; 感到; 见到; 接到; 拿到; 碰到; 收到; 受到; 送到; 提到; 想到; 做到	报到; 达到; 到达; 到底; 放到; 赶到; 直到	迟到; 没想到; 遇到	到来; 起到	到期; 想不到; 意想不到; 遭到	到他跟前; 找到; 看到/; 迟到十分钟; 对...感到很开心; 到; 到时候; 感到很大的压力; 搬...到...; 带一本书到中国去; 我走到公司去; 我走到公司来了; 找到一个方法; 搬到; 对。。。感到很开心; 遇到; 提到	开心到飞起; 没想到你是这样的。。。
285	穿	hsk2		穿				穿越	穿			穿上			穿衣服/; 穿不出去; 哪儿穿得	
286	洗	hsk2		洗	洗手间; 洗澡				洗; 洗手间	洗衣机; 洗澡				清洗; 洗衣粉	洗手液	洗白; 洗地; 洗剪吹; 洗脑神曲
287	给	hsk2		给				供给; 给予	给	交给; 送给			递给	供给; 给予	给她买一个包包; 发一张照片给她; 给你留下了...的印象; 给...丢脸	嫁给了爱情的模样; 我下面给你吃; 这样的。。。给我来一打; 这句话我给满分
288	找	hsk2		找			寻找		找; 找到	找出		寻找			找到; 找到一个方法	
289	懂	hsk2		懂						懂; 懂得					看懂/; 听不懂; 看不懂	秒懂
290	笑	hsk2		笑		开玩笑; 笑话	微笑	嘲笑; 讥笑	开玩笑; 笑	笑话; 笑话儿		微笑		笑脸; 笑容; 笑声	好笑; 开玩笑; 笑话; 开过分的玩笑; 会被别人笑话; 搞笑; 玩笑开大了	xswl; 笑著活下去; 刮锅底笑; 职业假笑; 慈母笑; 我就笑笑不说话; 姨母笑; 杠铃般的笑声; 保持围笑; 围笑; 爱笑的女孩运气不会太差; 笑得像钟汉良一样; 笑尿; 笑点; 冷笑话
291	诉	hsk2		告诉				诉讼; 投诉	告诉			投诉		起诉		
292	告	hsk2		告诉		广告	报告; 告别; 转告	被告; 布告; 告辞; 告诫; 公告; 警告; 原告	告诉	广告	报告; 告别	转告	公告; 警告	被告; 原告		奔走相告; 陪伴，是最长情的告白
293	准	hsk2		准备		标准; 准确; 准时	批准	瞄准; 准则	准备	准确	标准; 批准; 准	准时			准备; 准备好/; 标准; 审美标准	
294	备	hsk2		准备			具备; 责备; 设备	备份; 备忘录; 筹备; 储备; 戒备; 配备; 完备; 装备	准备		设备	具备	配备; 预备	装备	准备; 准备好/; 备份; 责备	备胎
295	始	hsk2		开始			始终	原始			开始; 始终		原始		从...开始	请开始你的表演; 始于颜值，陷于才华，忠于人品
296	介	hsk2		介绍			中介	媒介	介绍	对	把; 叫; 为	中介	打	简介	中介	
297	绍	hsk2		介绍					介绍							
298	帮	hsk2		帮助	帮忙				帮; 帮忙	帮助					她让我帮她搬很重的东西。; 对...有帮助/; 帮助; 帮; 谢谢你的帮助; 对。。。有帮助/没帮助; 我们要互相学习，互相帮助。	
299	助	hsk2		帮助		得		拔苗助长; 辅助; 借助; 协助; 赞助; 助理; 助手; 资助		帮助; 等		赞助	辅助; 助理; 助手; 资助	补助; 救助; 捐助; 所; 协助; 援助	对...有帮助/; 助手; 帮助; 谢谢你的帮助; 对。。。有帮助/没帮助; 我们要互相学习，互相帮助。	
300	玩	hsk2		玩		开玩笑	玩具	玩弄; 玩意儿	好玩儿; 开玩笑; 玩儿		玩具			游玩	开玩笑; 开过分的玩笑; 玩笑开大了; 爱玩	人民币玩家; 腿玩年; 佛系玩家; 城会玩; 还能不能愉快地玩耍了
301	送	hsk2		送				赠送	送	送到; 送给	发送		赠送	送礼; 送行	送她回家	送你上热评; 送你上墙; 送分题; 送命题; 推送; 传送门
302	等	hsk2		等		等	等于; 等待; 平等	等候; 等级; 相等	等	等; 等到; 等于; 平等	等待		等候; 等级; 相等	初等; 高等; 中等	等一会儿; 等等; 平等; 稍微等一下	
303	让	hsk2		让				让步; 转让		让			转让	让座	让; 我的女朋友让我喝酒。; 她让我帮她搬很重的东西。; 看我的小猫让我很开心。; 让我看起来不错; 她让我别说谎; 让我想起了; 让我印象深刻; 让人分心; 让我好尴尬; 让你退学	放开他,
304	床	hsk2		起床				床单; 临床	床; 起床						妈妈一起床就做早饭; 我藏我的钱在床下; 我躲在床下	床上运动; 船戏; 滚床单
305	歌	hsk2		唱歌				歌颂	唱歌; 歌		歌迷; 歌声; 歌手		歌曲; 诗歌	歌唱; 歌词; 歌星; 国歌; 民歌	放一首歌/; 歌单; 一首歌; 谷歌地图; 谷歌点评	
306	唱	hsk2		唱歌					唱; 唱歌		演唱; 演唱会	唱片		歌唱	无伴奏合唱	
307	舞	hsk2		跳舞			鼓舞	舞蹈			跳舞; 舞台		舞	舞蹈	舞蹈家	灵魂舞者; 尬舞
308	跳	hsk2		跳舞				跳跃			跳; 跳高; 跳舞; 跳远			跳水	吓我一跳	跳戏; 旋转跳跃闭著眼
309	旅	hsk2		旅游		旅行				旅客; 旅行; 旅游	旅馆; 旅行社			旅店	旅行; 旅游计划; 旅游攻略; 旅游; 旅游区	特种兵式旅游
310	游	hsk2		旅游; 游泳	游戏	导游	游览	上游		旅游; 游客	游; 游戏; 游泳	导游	游泳池	游人; 游玩; 游戏机; 游行	旅游计划; 旅游攻略; 打游戏; 自驾游; 旅游; 游客; 旅游区; 游泳运动员; 游乐园	特种兵式旅游
311	班	hsk2		上班	班	航班; 加班		值班	班; 上班; 下班	班长	班级	航班; 加班; 培训班	值班	西班牙语; 族	上班; 西班牙; 接她下班	土木三班陈同学
312	病	hsk2		生病			病毒; 毛病	弊病; 疾病	病; 病人; 看病; 生病		毛病		病毒	病房; 病情; 发病; 疾病; 心脏病; 治病	新冠病毒; 生病; 疾病; 慢性病; 糖尿病	sjb; 神经病啊; 丧心病狂; 公主病; 蛇精病
313	息	hsk2		休息		消息; 信息	利息	出息; 川流不息; 作息	休息	信息	消息	利息			休息室; 有出息	
314	休	hsk2		休息			退休; 休闲		休息	休假	退休		休闲		休闲的衣服; 休息室; 退休	
315	运	hsk2		运动			幸运; 运气; 运用; 命运; 运输	托运; 运算; 运行		运动	命运; 幸运; 运输	亚运会; 运动会; 运动员; 运气; 运用	好运; 运; 运行	运作	幸运; 运动员; 做运动员; 运动鞋; 游泳运动员	搬运; 越努力，越幸运; 床上运动; 爱笑的女孩运气不会太差
316	动	hsk2		运动	动物; 过; 花; 还; 长	得; 等; 动作; 感动; 活动; 激动	动画片; 劳动; 生动; 自动; 行动; 移动; 振动; 主动	被动; 冲动; 调动; 动荡; 动机; 动静; 动力; 动脉; 动身; 动手; 动态; 动员; 发动; 鼓动; 轰动; 机动; 惊动; 举动; 无动于衷	打; 等; 动; 动作; 关; 回; 会; 叫; 下; 要	背; 称¹; 成; 动物; 动物园; 对; 分; 该; 感动; 过去; 花; 活动; 怕; 生; 省; 像; 行动; 运动; 站	带动; 动力; 动人; 发动; 排; 任; 生动; 推动; 为; 信; 主动; 自动	摆动; 别; 并; 电动车; 动画片; 动摇; 激动; 批; 挺; 喂; 移动; 运动会; 运动员; 支; 转动	被动; 变动; 称²; 冲动; 调动; 动机; 动手; 动态; 动员; 封; 怪; 举动; 刻; 劳动; 流动; 启动; 签; 振动	波动; 出动; 打动; 电动; 动画; 互动; 机动车; 节; 料; 转动	令人激动; 动力; 运动员; 做运动员; 动漫; 活动; 电动汽车; 运动鞋; 动作片; 参加活动; 感动; 游泳运动员; 触动神经	糟了，是心动的感觉; 床上运动; 爱情动作片; 发动洪荒之力; 鸡冻
