我	I
倔	gruff
君	monarch
辟	king
拓	to make a rubbing
刊	publish
探	explore
勘	to investigate
侃	cheerful
慷	generous
扛	carry
拢	gather
磕	knock
啃	gnaw
坑	pit
孔	hole
怖	terror
惧	fear
隙	gap
腔	cavity
扣	button
泣	sob
枯	withered
萎	wither
涩	astringent
甘	sweet
挎	carry
跨	straddle
筐	basket
旷	neglect
框	frame
捆	bundle
叭	sound
喇	sound
烛	candle
蜡	candle
啦	exclamation
栏	fence
惰	lazy
狈	wretched
狼	wolf
吞	swallow
咽	throat
捞	fish up
叨	garrulous
唠	chatter
牢	firm
骚	disturb
愣	distracted
黎	Li ethnic group
碑	monument
睬	pay attention
壮	strong
粒	grain
盟	pledge
廉	honest
晾	air dry
辽	Liaoning
淋	sprinkle
啬	stingy
吝	stingy
晨	morning
魂	soul
俐	clever
伶	actor
袖	sleeve
溜	slip away
氓	common people
聋	deaf
哑	mute
隆	prosperous
垄	ridge
罩	cover
搂	hug
炉	stove
灶	kitchen
廓	extensive
胎	fetus
坛	altar
唆	incite
啰	exclamatory final particle
绎	interpret
屡	repeatedly
履	shoe
掠	rob
夺	seize
痹	paralysis
蚂	insect
蚁	ant
嘛	what
埋	bury
伏	to hide
葬	to bury
蔓	creeper
碌	rough
茫	vast
盲	blind
茂	luxuriant
枚	classifier
芽	bud
萌	sprout
猛	ferocious
眯	narrow one's eyes
弥	full
惑	confuse
谜	riddle
棉	cotton
疫	epidemic
勉	make an effort
绘	draw
瞄	take aim
渺	vast
藐	despise
蔑	belittle
亡	die
捷	quick
誉	praise
膜	membrane
磨	rub
魔	evil
抹	wipe
莫	do not
墨	ink
睹	observe
沐	bathe
浴	bath
辕	cart
辙	rut
涵	contain
拟	imitate
逆	oppose
捏	to pinch
拧	pinch
凝	to congeal
纽	button
隶	servitude
奴	slave
挪	shift
虐	oppressive
哦	oh
殴	beat up
呕	vomit
趴	lie on stomach
斥	blame/reprove
徊	wander
徘	pacing
遣	dispatch
攀	climb
旋	whirl
畔	boundary
庞	huge
抛	throw
沫	foam
烹	cooking
饪	cook
劈	chop
惫	exhausted
倦	tired
屁	fart
譬	example
偏	lean
僻	remote
浮	float
撇	fling
贫	poor
庸	ordinary
屏	reject
坡	slope
颇	rather
魄	soul
扑	pounce
铺	store
朴	simple
瀑	waterfall
欺	deceive
凄	dismal
旗	flag
袍	gown
帜	flag
协	cooperate
蒙	deceive
丐	beg
乞	beg
岂	how
迄	until
掐	pinch
恰	exactly
洽	accord
牵	lead
扯	pull
徙	change
逊	modest
潜	hidden
谴	censure
劫	rob
梁	roof beam
翘	raise
窍	hole
锲	cut
侵	invade
钦	respect
俭	frugal
澈	clear
晰	clear
倾	lean
柬	Cambodia
帖	paste
丘	mound
陵	tomb
曲	tune
驱	drive
